08:24:17.035 [main] INFO  n.f.core.GenFastFormRelFileUtils - formBeanFullClassPath:nextone.master.bean.DM20FormBean
08:24:17.042 [main] INFO  n.f.core.GenFastFormRelFileUtils - entityBeanFullClassPath:nextone.master.bean.StudentBean
08:24:17.042 [main] INFO  n.f.core.GenFastFormRelFileUtils - searchFormBeanFullClassPath:nextone.master.bean.DM21FormBean
08:24:17.112 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:17.113 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:24:17.120 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:24:17.120 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:24:17.149 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:24:17.149 [main] INFO  n.fastform.core.GenFormBeanUtils - pgmCd is :DM20
08:24:17.753 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:17.753 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:24:17.754 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:24:17.754 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:24:17.758 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:24:17.818 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:17.818 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:24:17.819 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:24:17.819 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:24:17.825 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:24:17.839 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:17.840 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:24:17.840 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:24:17.841 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:24:17.847 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:24:17.878 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:17.879 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:24:17.879 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:24:17.879 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:24:17.883 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:24:17.902 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:17.903 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:24:17.903 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:24:17.903 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:24:17.906 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:24:17.944 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:17.944 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:24:17.945 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:24:17.945 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:24:17.950 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:24:17.973 [main] INFO  n.f.core.GenFastFormRelFileUtils - ------------------------FormBean相关文件生成完成------------------------
08:24:17.988 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.037 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.039 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.040 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:24:18.040 [main] INFO  n.fastform.core.GenEntityBeanUtils - EntityBean is :StudentBean
08:24:18.070 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.073 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.076 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.076 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:24:18.077 [main] INFO  n.fastform.core.GenEntityBeanUtils - EntityName is:Student
08:24:18.093 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.096 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.099 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.099 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:24:18.118 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.121 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.123 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.124 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:24:18.141 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.145 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.149 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.149 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:24:18.229 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.233 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.238 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.238 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:24:18.277 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.281 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.285 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.285 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:24:18.315 [main] INFO  n.f.core.GenFastFormRelFileUtils - ------------------------EntityBeanAndDb相关文件生成完成------------------------
08:24:18.355 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.DM21FormBean
08:24:18.356 [main] INFO  nextone.fastform.core.GenerateUtils - nextone.master.bean.StudentBean
08:24:18.356 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.StudentBean
08:24:18.356 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean上有FastEntity注解
08:24:18.356 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.360 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.365 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.365 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForSearchForm读取成功
08:24:18.365 [main] INFO  n.fastform.core.GenSearchFormUtils - 数据获取成功
08:24:18.388 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.DM21FormBean
08:24:18.389 [main] INFO  nextone.fastform.core.GenerateUtils - nextone.master.bean.StudentBean
08:24:18.389 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.StudentBean
08:24:18.389 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean上有FastEntity注解
08:24:18.389 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.393 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.397 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.397 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForSearchForm读取成功
08:24:18.437 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.DM21FormBean
08:24:18.438 [main] INFO  nextone.fastform.core.GenerateUtils - nextone.master.bean.StudentBean
08:24:18.438 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.StudentBean
08:24:18.438 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean上有FastEntity注解
08:24:18.438 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.442 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.445 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.446 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForSearchForm读取成功
08:24:18.469 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.DM21FormBean
08:24:18.469 [main] INFO  nextone.fastform.core.GenerateUtils - nextone.master.bean.StudentBean
08:24:18.469 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.master.bean.StudentBean
08:24:18.469 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean上有FastEntity注解
08:24:18.469 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:24:18.473 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:24:18.476 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:24:18.477 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForSearchForm读取成功
08:24:18.487 [main] INFO  n.f.core.GenFastFormRelFileUtils - ------------------------SearchFormBean相关文件生成完成------------------------
08:26:17.207 [main] INFO  n.f.core.GenFastFormRelFileUtils - formBeanFullClassPath:nextone.master.bean.DM20FormBean
08:26:17.212 [main] INFO  n.f.core.GenFastFormRelFileUtils - entityBeanFullClassPath:nextone.master.bean.StudentBean
08:26:17.212 [main] INFO  n.f.core.GenFastFormRelFileUtils - searchFormBeanFullClassPath:nextone.master.bean.DM21FormBean
08:26:17.238 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:17.238 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:26:17.244 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:26:17.244 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:26:17.266 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:26:17.267 [main] INFO  n.fastform.core.GenFormBeanUtils - pgmCd is :DM20
08:26:17.820 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:17.821 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:26:17.821 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:26:17.821 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:26:17.827 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:26:17.877 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:17.877 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:26:17.878 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:26:17.878 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:26:17.884 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:26:17.893 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:17.894 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:26:17.894 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:26:17.894 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:26:17.899 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:26:17.927 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:17.927 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:26:17.928 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:26:17.928 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:26:17.933 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:26:17.950 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:17.950 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:26:17.951 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:26:17.951 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:26:17.956 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:26:17.998 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:17.998 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
08:26:17.999 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
08:26:17.999 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
08:26:18.003 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
08:26:18.023 [main] INFO  n.f.core.GenFastFormRelFileUtils - ------------------------FormBean相关文件生成完成------------------------
08:26:18.026 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:18.051 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:26:18.054 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:26:18.055 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
08:26:18.055 [main] INFO  n.fastform.core.GenEntityBeanUtils - EntityBean is :StudentBean
08:26:18.080 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
08:26:18.083 [main] INFO  nextone.fastform.core.GenerateUtils - class nextone.framework.bean.BaseEntityBean
08:26:18.086 [main] INFO  nextone.fastform.core.GenerateUtils - class java.lang.Object
08:26:18.086 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForEntityBean读取成功
